Année,Matière,Catégorie,Sous-catégorie,Statut,Valeur
2011,Cacao,PRODUCTION,Cacao fève,Prix au prod.² (FCFA/KG),803
2011,Cacao,PRODUCTION,Cacao transformé,Quantité (1000 X tonne),534.041095232567
2012,Cacao,PRODUCTION,Cacao fève,Quantité (1000 X tonne),1485.882
2012,Cacao,PRODUCTION,Cacao fève,Prix au prod.² (FCFA/KG),670
2012,Cacao,PRODUCTION,Cacao transformé,Quantité (1000 X tonne),508.8503192274393
2003,Cacao,EXPORTATION,Cacao fève,Quantité (1000 X tonne),947.858283
2003,Cacao,EXPORTATION,Cacao fève,Prix moyen (FCFA/KG),1063.0326475482202
2003,Cacao,EXPORTATION,Cacao transformé,Quantité (1000 X tonne),255.2
2003,Cacao,EXPORTATION,Cacao transformé,Pix moyen  (FCFA/KG),1430.2507836990596
2004,Cacao,EXPORTATION,Cacao fève,Quantité (1000 X tonne),1060.640872
2004,Cacao,EXPORTATION,Cacao fève,Prix moyen (FCFA/KG),801.5089286762843
2004,Cacao,EXPORTATION,Cacao transformé,Quantité (1000 X tonne),276.451
2004,Cacao,EXPORTATION,Cacao transformé,Pix moyen  (FCFA/KG),1073.1160314124381
2005,Cacao,EXPORTATION,Cacao fève,Quantité (1000 X tonne),990.956
2005,Cacao,EXPORTATION,Cacao fève,Prix moyen (FCFA/KG),784.9581616136337
2005,Cacao,EXPORTATION,Cacao transformé,Quantité (1000 X tonne),315.053
2005,Cacao,EXPORTATION,Cacao transformé,Pix moyen  (FCFA/KG),982.3521756656817
2006,Cacao,EXPORTATION,Cacao fève,Quantité (1000 X tonne),925.129
2006,Cacao,EXPORTATION,Cacao fève,Prix moyen (FCFA/KG),803.4965934480488
2006,Cacao,EXPORTATION,Cacao transformé,Quantité (1000 X tonne),300.889
2006,Cacao,EXPORTATION,Cacao transformé,Pix moyen  (FCFA/KG),1062.7905971969728
2007,Cacao,EXPORTATION,Cacao fève,Quantité (1000 X tonne),803.886203
2007,Cacao,EXPORTATION,Cacao fève,Prix moyen (FCFA/KG),855.2442837372593
2007,Cacao,EXPORTATION,Cacao transformé,Quantité (1000 X tonne),307
2007,Cacao,EXPORTATION,Cacao transformé,Pix moyen  (FCFA/KG),1259.97485147632
2008,Cacao,EXPORTATION,Cacao fève,Quantité (1000 X tonne),782.9
2008,Cacao,EXPORTATION,Cacao fève,Prix moyen (FCFA/KG),1008.174734959765
2008,Cacao,EXPORTATION,Cacao transformé,Quantité (1000 X tonne),351.2
2008,Cacao,EXPORTATION,Cacao transformé,Pix moyen  (FCFA/KG),1402
2009,Cacao,EXPORTATION,Cacao fève,Quantité (1000 X tonne),917
2009,Cacao,EXPORTATION,Cacao fève,Prix moyen (FCFA/KG),1334
2009,Cacao,EXPORTATION,Cacao transformé,Quantité (1000 X tonne),326.822
2009,Cacao,EXPORTATION,Cacao transformé,Pix moyen  (FCFA/KG),1627.656593
2010,Cacao,EXPORTATION,Cacao fève,Quantité (1000 X tonne),790.912
2010,Cacao,EXPORTATION,Cacao fève,Prix moyen (FCFA/KG),1552
2010,Cacao,EXPORTATION,Cacao transformé,Quantité (1000 X tonne),327.096
2010,Cacao,EXPORTATION,Cacao transformé,Pix moyen  (FCFA/KG),2009
2011,Cacao,EXPORTATION,Cacao fève,Quantité (1000 X tonne),1073.282143
2011,Cacao,EXPORTATION,Cacao fève,Prix moyen (FCFA/KG),1331.2979618240047
2011,Cacao,EXPORTATION,Cacao transformé,Quantité (1000 X tonne),253.419962
2011,Cacao,EXPORTATION,Cacao transformé,Pix moyen  (FCFA/KG),1823.602466537344
2012,Cacao,EXPORTATION,Cacao fève,Quantité (1000 X tonne),1011.631145
2012,Cacao,EXPORTATION,Cacao fève,Prix moyen (FCFA/KG),1171.911169130721
2012,Cacao,EXPORTATION,Cacao transformé,Quantité (1000 X tonne),339.085615
2012,Cacao,EXPORTATION,Cacao transformé,Pix moyen  (FCFA/KG),1582.0804084065908
2003,Café,PRODUCTION,Café vert,Quantité (1000 X tonne),251.117
2003,Café,PRODUCTION,Café vert,Prix au producteur (FCFA /KG),234
2003,Café,PRODUCTION,Café transformé,Quantité  (1000 X tonne),9.037
2004,Café,PRODUCTION,Café vert,Quantité (1000 X tonne),250.866
2004,Café,PRODUCTION,Café vert,Prix au producteur (FCFA /KG),355
