geometry,@id,Catégorie,Lieu,id
"{""type"":""Point"",""coordinates"":[-4.0246637,5.3338581]}",node/6474137981,Arrêt de bus,Musee du Plateau,node/6474137981
"{""type"":""Point"",""coordinates"":[-4.0260408,5.3385734]}",node/6474137982,Arrêt de bus,INSP,node/6474137982
"{""type"":""Point"",""coordinates"":[-4.026047,5.3434534]}",node/6474137983,Arrêt de bus,Mairie Adjame,node/6474137983
"{""type"":""Point"",""coordinates"":[-4.0258809,5.3455045]}",node/6474137984,Arrêt de bus,Forum,node/6474137984
"{""type"":""Point"",""coordinates"":[-4.0255492,5.3505092]}",node/6474138985,Arrêt de bus,Pharmacie Banco,node/6474138985
"{""type"":""Point"",""coordinates"":[-4.028099,5.3586829]}",node/6474138987,Arrêt de bus,Gare Nord,node/6474138987
"{""type"":""Point"",""coordinates"":[-4.0264129,5.3765166]}",node/6474138988,Arrêt de bus,MACACI,node/6474138988
"{""type"":""Point"",""coordinates"":[-4.0210182,5.3907204]}",node/6474138989,Arrêt de bus,Arret FILTISAC,node/6474138989
"{""type"":""Point"",""coordinates"":[-4.0163458,5.4084091]}",node/6474138990,Arrêt de bus,Arret ANADOR,node/6474138990
"{""type"":""Point"",""coordinates"":[-4.0162151,5.4136529]}",node/6474138991,Arrêt de bus,Arret BANCO,node/6474138991
"{""type"":""Point"",""coordinates"":[-4.0190791,5.4237088]}",node/6474138993,Arrêt de bus,Pharmacie la Me,node/6474138993
"{""type"":""Point"",""coordinates"":[-4.0203886,5.4363436]}",node/6474138995,Arrêt de bus,DGI,node/6474138995
"{""type"":""Point"",""coordinates"":[-4.0189201,5.4382274]}",node/6474138996,Arrêt de bus,Ancien SODECI,node/6474138996
"{""type"":""Point"",""coordinates"":[-4.0138587,5.4383936]}",node/6474138997,Arrêt de bus,Carrefour Akeïkoi,node/6474138997
"{""type"":""Point"",""coordinates"":[-4.0190673,5.3149589]}",node/6474138999,Arrêt de bus,Gare Sud,node/6474138999
"{""type"":""Point"",""coordinates"":[-4.0154262,5.4354931]}",node/6474139033,Arrêt de bus,Gare Sotra Abobo,node/6474139033
"{""type"":""Point"",""coordinates"":[-3.9641507,5.3580852]}",node/6815808830,Arrêt de bus,Station Shell Riviera 3,node/6815808830
"{""type"":""Point"",""coordinates"":[-3.9744202,5.3865761]}",node/6815808833,Arrêt de bus,CNPS Angre,node/6815808833
"{""type"":""Point"",""coordinates"":[-3.9780418,5.4010646]}",node/6815808834,Arrêt de bus,Marché COCOVICO,node/6815808834
"{""type"":""Point"",""coordinates"":[-3.9618125,5.3738506]}",node/6815808839,Arrêt de bus,Arret Quick Marcket,node/6815808839
"{""type"":""Point"",""coordinates"":[-3.9634252,5.3776576]}",node/6815808841,Arrêt de bus,Commissariat 35è Art.,node/6815808841
"{""type"":""Point"",""coordinates"":[-3.9586317,5.3698522]}",node/6815808845,Arrêt de bus,Pharmacie du Bonheur,node/6815808845
"{""type"":""Point"",""coordinates"":[-3.9725215,5.3832198]}",node/6815808846,Arrêt de bus,Groupe scolaire St Marc,node/6815808846
"{""type"":""Point"",""coordinates"":[-3.9692172,5.282599]}",node/6819328985,Arrêt de bus,CIE BIA SUD,node/6819328985
"{""type"":""Point"",""coordinates"":[-3.9707407,5.2892136]}",node/6819329085,Arrêt de bus,Terminus Grd Carrefour Koumassi,node/6819329085
"{""type"":""Point"",""coordinates"":[-3.9741109,5.2921087]}",node/6819329086,Arrêt de bus,Hotel Ibis Marcory,node/6819329086
"{""type"":""Point"",""coordinates"":[-3.9896513,5.3008179]}",node/6819329285,Arrêt de bus,Chimtec Grd Carrefour Marcory,node/6819329285
"{""type"":""Point"",""coordinates"":[-3.9728755,5.3310014]}",node/6820855647,Arrêt de bus,Golf Hotel,node/6820855647
"{""type"":""Point"",""coordinates"":[-4.021605,5.332764]}",node/6831076677,Arrêt de bus,Cathedrale Saint Paul,node/6831076677
"{""type"":""Point"",""coordinates"":[-4.0205625,5.3302749]}",node/6831076678,Arrêt de bus,Palais de Justice,node/6831076678
"{""type"":""Point"",""coordinates"":[-3.9867655,5.2989253]}",node/6832290086,Arrêt de bus,CAP SUD Marcory,node/6832290086
"{""type"":""Point"",""coordinates"":[-4.0022393,5.2996481]}",node/6899034705,Arrêt de bus,Gare de Bassam,node/6899034705
"{""type"":""Point"",""coordinates"":[-3.9997862,5.3004143]}",node/6899034706,Arrêt de bus,Gendarmerie,node/6899034706
"{""type"":""Point"",""coordinates"":[-4.0037983,5.303315]}",node/6899034707,Arrêt de bus,Notre-dame,node/6899034707
"{""type"":""Point"",""coordinates"":[-4.005186,5.3072484]}",node/6899034708,Arrêt de bus,Pharmacie Nanan Yamousso,node/6899034708
"{""type"":""Point"",""coordinates"":[-4.0061407,5.3099574]}",node/6899034709,Arrêt de bus,Après le Pont,node/6899034709
"{""type"":""Point"",""coordinates"":[-4.0160603,5.3534116]}",node/6899034710,Arrêt de bus,Adjame Liberte,node/6899034710
"{""type"":""Point"",""coordinates"":[-4.014858,5.3534437]}",node/6899053345,Arrêt de bus,Adjamé Liberté,node/6899053345
"{""type"":""Point"",""coordinates"":[-4.0120307,5.3535364]}",node/6899053346,Arrêt de bus,Gare de Bingerville,node/6899053346
"{""type"":""Point"",""coordinates"":[-4.0152949,5.325075]}",node/6899053347,Arrêt de bus,Feux du plateau,node/6899053347
"{""type"":""Point"",""coordinates"":[-4.0061218,5.3101491]}",node/6899053348,Arrêt de bus,Nanan Yamousso,node/6899053348
"{""type"":""Point"",""coordinates"":[-4.0174383,5.4200067]}",node/6899241573,Arrêt de bus,Abobo Gare Mairie,node/6899241573
"{""type"":""Point"",""coordinates"":[-4.0159818,5.4143755]}",node/6899241574,Arrêt de bus,Mobil,node/6899241574
"{""type"":""Point"",""coordinates"":[-4.0215227,5.3846198]}",node/6899241575,Arrêt de bus,Lavage,node/6899241575
"{""type"":""Point"",""coordinates"":[-4.0257575,5.37725]}",node/6899241576,Arrêt de bus,Macaci,node/6899241576
"{""type"":""Point"",""coordinates"":[-4.0164004,5.3543459]}",node/6899241577,Arrêt de bus,Adjamé Liberté,node/6899241577
"{""type"":""Point"",""coordinates"":[-4.0212174,5.349107]}",node/6899264970,Arrêt de bus,Marché Gouro,node/6899264970
"{""type"":""Point"",""coordinates"":[-4.016791,5.358734]}",node/6899264972,Arrêt de bus,Station Total,node/6899264972
"{""type"":""Point"",""coordinates"":[-4.0171184,5.4215493]}",node/6899264973,Arrêt de bus,Abobo Gare Mairie,node/6899264973
"{""type"":""Point"",""coordinates"":[-4.0153363,5.4195759]}",node/6902638988,Arrêt de bus,Carrefour Marché,node/6902638988
"{""type"":""Point"",""coordinates"":[-4.0135168,5.4186048]}",node/6902638989,Arrêt de bus,Petro Ivoire,node/6902638989
"{""type"":""Point"",""coordinates"":[-4.0101975,5.4168519]}",node/6902638990,Arrêt de bus,Au Bar,node/6902638990
"{""type"":""Point"",""coordinates"":[-4.0080786,5.4157998]}",node/6902638991,Arrêt de bus,Petit Carrefour,node/6902638991
"{""type"":""Point"",""coordinates"":[-4.0067032,5.4152338]}",node/6902638992,Arrêt de bus,Samaké,node/6902638992
"{""type"":""Point"",""coordinates"":[-4.0064914,5.3995011]}",node/6902638993,Arrêt de bus,Azur,node/6902638993
"{""type"":""Point"",""coordinates"":[-4.0070352,5.3780522]}",node/6902638994,Arrêt de bus,Panneau ZOO,node/6902638994
"{""type"":""Point"",""coordinates"":[-4.0117095,5.4176548]}",node/6902638996,Arrêt de bus,Ciné Cool,node/6902638996
